name;description;website;image_url;source_page;market;type;Location;Greater Stockholm Y/N
Parlametric AB;"Parlametric levererar AI-drivna rapporter baserade på kunddata - samtal, mejl, chattar, digitala ärenden och enkätsvar - för att kontinuerligt identifiera förbättringsområden, minska manuellt arbete och öka kundnöjdhet. Företaget erbjuder tre funktioner i samtalsanalys: överblick över alla ärenden via telefon, chatt och e-post med svar på varför kunder kontaktar, vilka ärenden tar längst tid och hur ofta samtal inleds trevligt; benchmark-jämförelse mot liknande företag i branschen; samt uppföljning av verksamhetsanpassade KPI:er över tid. För enkätundersökningar tillhandahåller Parlametric analys av öppna frågor med egenutvecklad AI-teknologi granskad av erfarna analytiker, realtidsuppföljning av insamling samt tydliga jämförelser mellan aktuella och tidigare undersökningar. Parlametric erbjuder även TEXTALIO för självanalys av data, SPEAKIN utvecklat i samarbete med skolor för att stärka barns språkfärdigheter, samt avancerad dokumentanalys. All data hanteras säkert enligt GDPR via företagets analysportal.";https://parlametric.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471859/recclLlBcMyT9jlol.webp;https://www.ai-startups-europe.eu/p15?country%5B%5D=4000642;B2B;artificial intelligence;Lund, Sweden;No
SiB Solutions AB;SiB Solutions möjliggör felfri logistik genom cutting edge-teknologi och artificiell intelligens (SiB står för Seeing is Believing). Företaget är ett logistikteknologiföretag som möjliggör felfri logistik över hela leveranskedjan. Deras Intelligent Video och AI Services ger omedelbart överlägsen synlighet samt visuell bevisning och insikter. SiB Solutions hjälper företag att uppnå lönsamma logistikprocesser man kan visa upp med stolthet. Genom att kombinera videoteknik med AI kan SiB Solutions identifiera problem i realtid, dokumentera händelser och ge handlingsbara insikter som förbättrar effektiviteten i supply chain management och distribution.;https://www.sibsolutions.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471259/recFU1bCCjFZPpwG9.webp;https://www.ai-startups-europe.eu/p18?country%5B%5D=4000642;B2B;artificial intelligence;Lund, Sweden;No
Emulate Energy;Emulate Energy utvecklar next-generation energilagrings- och demand response-lösningar för smarta energisystem. Företagets teknologi kombinerar AI-driven lastprognostisering med distribuerad energiresurshantering för att balansera energinät och maximera förnybar energianvändning. Emulate erbjuder virtuella kraftverk som aggregerar batterier, elfordon och flexibel last för nättjänster. Lösningen används av nätoperatörer och energibolag för att stabilisera elnät med hög andel intermittent förnybar energi. Företaget driver transformationen mot ett flexibelt och hållbart energisystem genom deep tech-innovation.;https://www.emulate.energy/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471956/recgsoaFYurOR1BJa.webp;https://www.ai-startups-europe.eu/p6?country%5B%5D=4000642;B2B;deep tech;Lund, Sweden;No
Your Speech Factory;Your Speech Factory är en tech-startup i Malmö som förbättrar kommunikationsarbetsflöden genom AI-drivna verktyg för presentationsskapande och mötesberedning. Företaget erbjuder två distinkta produkter som delar samma mål: att eliminera repetitiva uppgifter från kommunikationsprocesser. Tjänsten kombinerar neurovetenskap med AI för att boosta mötesberedning och hjälpa användare skapa bättre presentationer som driver bättre affärsresultat. Plattformen inkluderar funktioner som Slide Style Analysis, audience-centric Slide Builder, Product Info Slide Builder, Financial Report Slide Builder och Slide Tag Management för att leverera rätt slides till rätt personer. Your Speech Factory arbetar med att analysera målgruppsanpassning och optimera presentationsinnehåll baserat på vem som ska ta emot informationen. Företagets lösningar används av organisationer som vill standardisera och effektivisera sin presentations- och kommunikationsproduktion.;https://www.yourspeechfactory.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471575/recQzn8An4jxm45Gw.webp;https://www.ai-startups-europe.eu/p21?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, saas;Malmö, Sweden;No
Oxide AB;Oxide utvecklar förklarbar AI (Explainable AI/XAI) för alla dataintensiva domäner med fokus på missionen att förstärka människor med pålitlig AI. Företaget erbjuder high-end AI-agenter för missionskritisk optimering genom sin Polychaos® API-plattform för att bygga och skala enterprise intelligence samt sin proprietära EvoQ™ unified AI-motor som är kapabel till kontinuerligt lärande, resonemang och anpassning i realtid. Oxide:s teknologi säkerställer precision med nolltolerans för hallucinationer, transparent förklaring av resultat från källdata till modeller, och anpassning inspirerad av evolution där system svarar på verklig feedback. Företagets Hybrid AI-approach uppnår stor flexibilitet och substansiella energibesparingar. Oxide levererar anpassade AI-agenter konfigurerbara för olika optimerings- och dataanalysscenarier, premium alternativ data-APIer med AI-raffinerad data för 6000+ publika företag, samt OXOGEN - en personlig investeringsanalysapplikation som demokratiserar AI-verktyg för objektiv forskning över hela finansmarknaden.;https://oxide.ai/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472197/recqbFpTSsUTiVlwc.webp;https://www.ai-startups-europe.eu/p15?country%5B%5D=4000642;B2B, energy;artificial intelligence, saas;Malmö, Sweden;No
Sanctify Financial Technologies AB;Sanctify hjälper organisationer att fatta bättre, hållbara beslut snabbare genom visibility in sustainability. Företaget tillhandahåller Sanctify ESG som samlar media från över 55 000 nyhetskällor världen över varje dag. Deras avancerade AI-system analyserar tusentals nyhetsartiklar dagligen och bearbetar data som skulle ta år för en människa att processa. Data presenteras på ett tydligt sätt som möjliggör effektivare analys och gör det enkelt att skapa och underhålla hållbara produkter, vilket sparar tid och pengar. Sanctify ESG scoring-systemet ger en översikt över hållbarhetsprestandan för alla företag i en portfölj och varnar när händelser inträffar. Systemet stödjer 13 000+ företag, använder 55 000+ källor och analyserar 8 miljarder datapunkter. Sanctify hjälper investerare att enkelt skapa hållbara investeringsprodukter, förbättra avkastning och hantera ESG-strategier till mycket lägre kostnad. Plattformen finns tillgänglig via webbapplikation, Bloomberg Terminal App, API och som gratis version (Sanctify ESG Open). Data distribueras även via Bloomberg och Neudata.;https://sanctify.ai;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471241/recEwqyEbAzNOYGPs.webp;https://www.ai-startups-europe.eu/p17?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, saas;Malmö, Sweden;No
Connectitude AB;Connectitude förbättrar OEM-tillverkares relationer med sina kunder genom en uppkopplad eftermarknad. Företaget utvecklar den mest kompletta IIoT-plattformen som kopplar samman maskiner, data och tjänster för att skapa värde i eftermarknaden. Genom att möjliggöra kontinuerlig kommunikation mellan produkter och tillverkare skapar Connectitude nya affärsmöjligheter och förbättrad kundservice efter försäljningen. Lösningen hjälper OEM-företag att transformera från produktförsäljning till service- och datadriven affärsmodell.;https://connectitude.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471790/recaQOycj1xWyDeqf.webp;https://www.ai-startups-europe.eu/p4?country%5B%5D=4000642;B2B, enterprise software;iot internetofthings, saas;Malmö, Sweden;No
ATO Energy;ATO Energy revolutionerar nätkapacitet genom AI-driven dynamisk belastningsövervakning för energisektorn. Företaget utvecklar lösningar som optimerar elnätets kapacitetsutnyttjande genom intelligent övervakning och prediktiv analys av kraftöverföring. Med fokus på att maximera befintlig infrastruktur utan fysiska uppgraderingar hjälper ATO Energy nätoperatörer att hantera ökande efterfrågan och integrera förnybar energi mer effektivt.;https://www.ato.energy;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471210/recDqEvZuqKY8mv7i.webp;https://www.ai-startups-europe.eu/p2?country%5B%5D=4000642;B2B, energy;artificial intelligence, saas;Mölnlycke, Sweden;No
Interspectral;Interspectral är ett snabbväxande teknikföretag baserat i Norrköping som specialiserar sig på avancerad datateknik för additiv tillverkning (3D-printing). Företaget utvecklar AM Explorer, en AI-driven plattform som ger fullständig överblick och kontroll över additiv tillverkningsproduktion. Plattformen integrerar realtidsdata från produktionsmiljön och använder AI för att automatiskt upptäcka avvikelser, följa nyckeltal och generera handlingsbara insikter. Interspectral arbetar med 3D-digitalisering, 3D-visualisering och avancerad datafusion, och betjänar en global marknad med kunder i över 20 länder. Lösningen är oberoende av maskintillverkare och designad för att eliminera data- och arbetsflödesflaskhalsar i produktionen. Bland kunderna finns industriledare som GKN Aerospace.;https://interspectral.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471488/recNOQ0XczNk8hun6.webp;https://www.ai-startups-europe.eu/p10?country%5B%5D=4000642;B2B, space;artificial intelligence, saas;Norrköping, Sweden;No
Neurolearn;Neurolearn arbetar med bred tillämpning av AI för att driva insikter med målet att skapa en mer hållbar värld till gagn för människor. Företaget utvecklar Neurolearn AI Vision Platform som automatiskt detekterar defekter genom att kombinera cutting edge machine learning med solid infrastruktur för beräkning, träning, lagring och annotering. Detta innebär att manuell inspektion kan ersättas helt eller delvis av en automatiserad lösning. Neurolearn skapar skräddarsydda högvärdessystem tillsammans med sina kunder och baserar sina plattformslösningar på den senaste forskningen inom deep learning. Företaget har levererat tillämpningar inom flera industrier: Moon Smart Focus (AI-driven avståndsmatare för professionella filmare), Mondi (AI-lösning för defektdetektering i processindustrin), Ekobot (kombination av robotik och hållbar matproduktion) samt BeeScanning (tillämpningar inom ekologi).;https://www.neurolearn.se;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471936/recfx3sVnTjZYHIvg.webp;https://www.ai-startups-europe.eu/p13?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, machine learning, deep learning, saas;Örebro, Sweden;No
Ebbot AB;Ebbot automatiserar kundservice i stor skala genom generativ AI som hanterar kundfrågor naturligt och effektivt. Företagets conversational AI-plattform använder stora språkmodeller för att förstå komplexa kundärenden och ge korrekta svar utan omfattande träning. Ebbot integreras enkelt med befintliga kundsupportsystem och kan hantera support via chatt, e-post och telefon. Lösningen är säker, snabb och skalbar, vilket gör den idealisk för företag med höga supportvolymer. Genom att automatisera rutinfrågor frigör Ebbot mänskliga agenter att fokusera på komplexa ärenden som kräver empati och problemlösning.;https://www.ebbot.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471855/recchULpodZBvDdEO.webp;https://www.ai-startups-europe.eu/p5?country%5B%5D=4000642;B2B;artificial intelligence;Rimbo, Sweden;No
Batonics AB;Batonics är en AI-plattform för investeringsanalys och automated scouting som täcker flera tillgångsklasser. Företaget erbjuder verktyg för orderboksanalys med MBO-10-data, HFT-mikrostrukturanalys, backtesting, kvantitativ AI och portföljriskhantering. Plattformen inkluderar Monte Carlo-simulering, känslighetsanalys, NPL-portfolio underwriting, crowdfundad fastighetsredovisning, korrelationsinversion för publika aktier och automatiserad värdering för private credit. Batonics hanterar massbearbetning av finansiella dokument (PDF/XLS) för scouting och prissättning inom fastigheter, private credit och venture debt. Systemet visualiserar orderboksobalanser, 3D-volatilitet, heatmaps, Smart VWAP och spoofing-detektering. Företaget är del av EU Digital Finance Platform's Fintech Map och European AI Startup Landscape.;https://batonics.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471795/recadZguNBdV1Fomy.webp;https://www.ai-startups-europe.eu/p2?country%5B%5D=4000642;B2B, fintech;artificial intelligence, saas;Rosersberg, Sweden;No
Allting AB;Allting utvecklar en AI-driven aktivitetsspårare för möten som hjälper organisationer förbättra sina möten genom artificiell intelligens och dataanalys. Företagets plattform analyserar mötesaktiviteter i realtid för att ge insikter och rekommendationer som ökar möteseffektiviteten. Genom att samla och strukturera data från möten skapar Allting underlag för organisationer att förstå hur de använder sin tid och var förbättringar kan göras. Tekniken är utformad för att vara användarvänlig och integreras naturligt i befintliga arbetsflöden utan att störa mötesdeltagarna.;https://www.allting.co;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472237/recsYODUJmeqgWeFX.webp;https://www.ai-startups-europe.eu/?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, saas;Skogås, Sweden;No
Inovia AB;Inovia AB är ett svenskt AI-företag grundat 2012 som utvecklar maskininlärningslösningar för industrin. Företaget erbjuder prediktiv analys, processoptimering och anomalidetektering genom deep learning. Inovia arbetar med tillverkningsindustrin för att öka effektivitet och kvalitet. Företaget omsätter 14,3 miljoner euro.;https://inoviagroup.se/;https://logo.clearbit.com/inoviagroup.se;https://sweden.dealroom.co/companies/f/founding_or_hq_slug_locations/anyof_sweden;B2B, enterprise software;big data, deep learning, machine learning;Sollentuna, Sweden;Yes
Levtek Sweden AB;Levtek utvecklar kognitiva och kollaborativa robotar för person- och godstransport. Företaget arbetar med nästa generation av robotik där maskiner kan resonera, lära sig, anpassa sig och förbättra över tid - vilket representerar hur AI träder in i den triljon-dollar stora marknaden för fysiskt arbete. Levtek fokuserar på ride-on-robotar, dvs robotar som människor kan åka på eller som transporterar last. Företagets vision är att möjliggöra storskalig implementation av kognitiva robotar som kan fungera tillsammans med människor i olika arbetsmiljöer. Levtek baserar sin teknik på en ny våg av robotik som kombinerar avancerad AI med praktisk användbarhet.;https://www.levtek.io/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471188/recCeuhsg1En5EPPt.webp;https://www.ai-startups-europe.eu/p11?country%5B%5D=4000642;B2B;artificial intelligence;Sollentuna, Sweden;Yes
Earthbanc AB;Earthbanc stödjer regenerativ markförvaltning genom MRV-mjukvara (Monitoring, Reporting, Verification) och AgTech-lösningar. Det klimatteknikföretag erbjuder verktyg för design, planering och övervakning av agroforestry, regenerativt jordbruk och ekosystemåterställningsprojekt. Earthbanc kontinuerligt granskade och betygsatta kolmarknaden möjliggör verifierbar klimatpåverkan. Företaget arbetar med organisationer som är passionerade kring mark- och ekosystemåterställning samt klimatåtgärder, och tillhandahåller de digitala verktyg som krävs för att mäta, rapportera och verifiera miljöeffekter av regenerativa jordbruksmetoder.;https://earthbanc.io/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472257/rectKwqAIowqpNOXR.webp;https://www.ai-startups-europe.eu/p5?country%5B%5D=4000642;B2B, agritech;deep tech;Sollentuna, Sweden;Yes
EnginZyme;EnginZyme är ett svenskt biotech-företag grundat 2014 som utvecklar revolutionerande enzyminmobiliseringsteknologi för hållbar kemisk tillverkning. Företagets ELBA-plattform (Enzyme-Like Biocatalytic Assembly) möjliggör industriell användning av enzymer utanför celler, vilket öppnar för grönare och mer effektiva produktionsprocesser inom läkemedel, kemi och mat. EnginZymes teknologi minskar energiförbrukning, kemikalieanvändning och avfall jämfört med traditionell kemisk syntes. Med partnerskap med stora kemibolag och farmaindustrin demonstrerar EnginZyme potentialen för biokatalysutveckling i kommersiell skala. Företaget omsätter 32 miljoner euro och driver transformation mot hållbar kemisk industri.;https://enginzyme.com/;https://logo.clearbit.com/enginzyme.com;https://sweden.dealroom.co/companies/f/founding_or_hq_slug_locations/anyof_sweden;B2B, health, chemicals, biotechnology;hardware, deep tech, commission, manufacturing;Solna, Sweden;Yes
Charge Amps;Charge Amps är ett svenskt cleantech-företag grundat 2012 som utvecklar och tillverkar smarta laddningslösningar för elfordon. Företagets produktportfölj inkluderar väggboxar, laddstolpar och lastbalanseringssystem för både hem och kommersiella installationer. Charge Amps lösningar är uppkopplade och möjliggör smart laddning, energioptimering och integration med solceller och energilagring. Med distribution i Europa bidrar Charge Amps till elektrifieringen av transport. Företaget omsätter 13,2 miljoner euro.;https://www.chargeamps.com/;https://logo.clearbit.com/chargeamps.com;https://sweden.dealroom.co/companies/f/founding_or_hq_slug_locations/anyof_sweden;B2B, B2C, energy, transportation, clean energy;hardware, recognition, commission;Solna, Sweden;Yes
Index Pharmaceuticals;Index Pharmaceuticals är ett svenskt biofarmabolag grundat 2000 som utvecklar läkemedel för behandling av inflammatoriska tarmsjukdomar. Företagets ledande kandidat cobitolimod är i klinisk utveckling för ulcerös kolit. Index använder immunmodulering för att behandla autoimmuna sjukdomar där befintliga alternativ är otillräckliga. Företaget är noterat på Nasdaq Stockholm och omsätter 23,7 miljoner euro.;https://www.indexpharma.com/;https://logo.clearbit.com/indexpharma.com;https://sweden.dealroom.co/companies/f/founding_or_hq_slug_locations/anyof_sweden;B2B, health, biotechnology, pharmaceutical;deep tech, manufacturing;Solna, Sweden;Yes
Stockeld Dreamery;Stockeld Dreamery är ett svenskt foodtech-företag grundat 2019 som utvecklar premiumostar från växtbaserade råvaror med traditionell ostteknik. Företaget använder precision fermentation och innovativa processer för att skapa ostar som matchar smak och textur av mejeriost utan djurproteiner. Stockeld Dreamery fokuserar på gourmetsegmentet och har lanserat produkter i Skandinavien och UK. Med växande efterfrågan på hållbara proteinalternativ omsätter företaget 19,8 miljoner euro och driver innovation inom alternativa mejeriprodukter.;https://www.stockeld.com/;https://logo.clearbit.com/stockeld.com;https://sweden.dealroom.co/companies/f/founding_or_hq_slug_locations/anyof_sweden;B2B, food, innovative food;deep tech, commission, manufacturing;Solna, Sweden;Yes
Lumi Labs;Lumi Labs utvecklar LingoLooper, en AI-driven språkinlärningsapp som hjälper nästa generations elever genom immersiva utbildningsupplevelser. LingoLooper fokuserar på att få användare att tala målspråket från dag ett genom konversationer med över 1000 AI-avatarer i hundratals vardagliga sammanhang. Appen använder en voice-first-approach och simulerar erfarenheten av att bo utomlands genom att låta användare interagera med AI-karaktärer i en virtuell 3D-värld. LingoLooper stödjer inlärning av över 20 språk inklusive engelska, spanska, franska, tyska, japanska, koreanska, mandarin och svenska. Plattformen ger användare frihet och självständighet med en native-level samtalspartner tillgänglig när som helst. Appen utvärderar prestanda efter varje konversation och ger personlig feedback på ordförråd, stil, grammatik och flyt. Med över 300 000 nedladdningar och 4.9 i betyg erbjuder LingoLooper en alternativ väg till språkbehärskning som fokuserar på praktisk kommunikation.;https://www.lingolooper.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471324/recHYOPO54AkjZeXB.webp;https://www.ai-startups-europe.eu/p11?country%5B%5D=4000642;B2B, edtech & e-learning;artificial intelligence, saas;Solna, Sweden;Yes
T&S Engineering Intelligence AB;T&S Engineering Intelligence tillhandahåller AI-driven automatisering av ritningsgranskning för industrins designprocesser. Företaget har utvecklat ett AI-system som kan läsa och tolka tekniska ritningar, och automatiskt utföra granskningar och kvalitetskontroller. Lösningen, AI Review, säkerställer att företags designriktlinjer följs konsekvent genom att kontrollera varje ritning automatiskt. Tekniken bidrar till bättre kvalitet på ritningar, effektivare designprocesser där ritningsgranskning inte längre blir en flaskhals, och ett mer nöjt konstruktörsteam. Systemet hjälper tillverkande industrier att standardisera kvalitetsprocesser och minska risken för att fel slinker igenom i designfasen.;https://tsei.se;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471640/recU30z6Xnfzao0ZH.webp;https://www.ai-startups-europe.eu/p19?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence;Solna, Sweden;Yes
Indicate me;Indicate me stärker kundservice med AI-driven insikter som hjälper supportteam att förstå och förutse kundbehov. Företagets plattform analyserar kundinteraktioner, sentiment och beteende för att ge realtidsrekommendationer till supportagenter. Indicate me använder natural language processing för att identifiera kundemotioner och urgency, vilket möjliggör prioriterad och personaliserad service. Lösningen integreras med befintliga CRM- och supportsystem för sömlöst arbetsflöde. Genom att kombinera AI-insikter med mänsklig empati driver Indicate me förbättrad kundnöjdhet och retention.;https://indicate.me/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4470983/rec3kwtjDRmiZXM9m.webp;https://www.ai-startups-europe.eu/p9?country%5B%5D=4000642;B2B;artificial intelligence;Solna, Sweden;Yes
P3S - Patient Safety Surveillance Solutions;P3S utvecklar AI-baserad programvara som automatiskt identifierar vårdskador, vilket gör det enkelt för sjukhus att följa utvecklingen av vårdskador över tid och främjar kontinuerlig förbättring av patientsäkerheten. Systemet baseras på validerade algoritmer som analyserar vårdgivarens datalager oberoende av journalsystem, utan krav på manuellt arbete. P3S mjukvara installeras lokalt inom vårdgivarens nätverk bakom befintliga säkerhetslösningar, vilket innebär att ingen patientdata lämnar vårdgivarens datamiljö. Företaget har utvecklat algoritmer för övervakning av sepsis, centralvenös kateter-infektion, urinvägsinfektion, Clostridioides difficile-infektion, kirurgiska komplikationer enligt Clavien-Dindo, och arbetar med algoritmer för pneumoni och postoperativ sårinfektion. P3S bygger på resultaten från Vinnova-projektet VRI Proaktiv med en budget på 68 miljoner SEK, där man etablerat en databas med information från 20 miljoner vårdtillfällen. Företaget är inkluderat i IVAs topp 100-lista 2022 och stöds av Karolinska Institutet Innovations AB.;https://www.p3s.se/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471675/recVf1IZBn3F5wJ7Z.webp;https://www.ai-startups-europe.eu/p15?country%5B%5D=4000642;B2B, health;artificial intelligence;Stockholm, Sweden;Yes
Prognostix AB;Prognostix har utvecklat PATHFx, ett kliniskt beslutsstödsverktyg för att förbättra patientvård och minska vårdkostnader. PATHFx är baserat på Machine Learning och kan estimera överlevnad hos cancerpatienter med skelettmetastaser. Verktyget hjälper läkare att personalisera vård mer effektivt genom att ge data-drivna prediktioner om behandlingsutfall, vilket förbättrar patientens livskvalitet och minskar vårdkostnader. PATHFx möjliggör bättre beslutsfattande kring kirurgiska ingrepp och andra behandlingsalternativ för patienter med avancerad cancer.;https://www.pathfx.org;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471092/rec8qM6nntdtQ716Y.webp;https://www.ai-startups-europe.eu/p16?country%5B%5D=4000642;B2B, health;machine learning;Stockholm, Sweden;Yes
PryvX;PryvX utvecklar en zero-trust-plattform för säkert datasamarbete som gör det möjligt för organisationer att arbeta tillsammans för att hantera gemensamma utmaningar utan att offra datasekretess och säkerhet. Företaget löser det kritiska problemet med hur organisationer kan samarbeta kring känslig data för att lösa delade utmaningar utan att kompromissa med integritet, compliance eller kontroll. PryvX erbjuder Data Clean Rooms för säkra miljöer för känslig datasamarbete och gemensam analys, samt Federated Data Networks för åtkomst till privat data genom federerad analys utan att centralisera någon data. Lösningen är särskilt värdefull för fraud detection där samarbete krävs men tillgång till silad data är begränsad, samt för industrier som måste följa strikta dataregleringar och kräver användarsamtycke för att dela data. PryvX arbetar med kunder som BT, Indico och Mastercard Lighthouse, och är backade av Antler, Sting och Norrsken.;https://www.pryvx.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471934/recftwyU38AeI2ML2.webp;https://www.ai-startups-europe.eu/p16?country%5B%5D=4000642;B2B, enterprise software;saas;Stockholm, Sweden;Yes
Skald AI AB;Skald AI utvecklar ett gränssnitt för att en AI ska förstå andra AI:er och tjänster. Företagets produkt agent0 är ett AI-infrastrukturlager för webben - ett verktyg som hjälper vilken LLM-baserad AI som helst att surfa på webben och interagera med vilken tjänst som helst, även andra AI:er. Skald AI arbetar med att lösa interoperabilitetsproblemet mellan olika AI-system och tjänster, vilket möjliggör att AI-agenter kan kommunicera och samarbeta mer effektivt. Detta är särskilt värdefullt i en värld där olika AI-system behöver kunna integrera med varandra och med externa tjänster för att leverera värde.;https://skaldai.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471462/recMQJF14MIHUfeJi.webp;https://www.ai-startups-europe.eu/p18?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence;Stockholm, Sweden;Yes
Stratipath;Stratipath utvecklar AI-baserad precisiondiagnostik för att förbättra cancerbehandlingsbeslut och patientutfall. Företagets första produkt Stratipath Breast är en CE-IVD-lösning för prognostisk riskprofilering av invasiv bröstcancer - den första i sitt slag. Stratipath Breast är validerat i stora oberoende studier och ger kliniker möjlighet att fatta mer informerade behandlingsbeslut genom att använda AI för att analysera vävnadsprover och förutsäga behandlingsutfall. Detta möjliggör personaliserad cancervård där rätt behandling kan ges till rätt patient från början, vilket kan förbättra överlevnadsraten och livskvaliteten för cancerpatienter samtidigt som det minskar kostnader genom att undvika ineffektiva behandlingar. Stratipath representerar en ny generation av precisionsmedicin där AI kombineras med patologi för att ge läkare kraftfulla beslutsverktyg.;https://www.stratipath.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471553/recPmtmyTILLsscpZ.webp;https://www.ai-startups-europe.eu/p18?country%5B%5D=4000642;B2B, health;artificial intelligence;Stockholm, Sweden;Yes
Voxo AB;Voxo är ett svenskt conversational AI-företag som omvandlar konversationer till handlingsbara insikter genom att extrahera, analysera och visualisera data från röstsamtal i realtid. Företaget grundades 2016 och erbjuder två lösningar: Voxo Insights för analys av telefonsamtal, e-post, chattar och möten, samt Voxo Event för AI-driven real-time insights från konferenser och evenemang. Voxo's plattform använder egen speech-to-text-motor med marknadsledande noggrannhet samt fine-tunade open source-modeller som Whisper. Systemet tillhandahåller automatisk kategorisering, sammanfattning och sentimentanalys för alla konversationer, vilket ger organisationer överblick över viktigaste områden och drivers för kundnöjdhet. Genom att analysera sentiment per samtalsavsnitt utvecklar Voxo ett Satisfaction Score och Turnaround Score som möjliggör analys på kategori- och medarbetarnivå. Plattformen används av COOP Sverige, Eskilstuna Energi, Hertz och Nordea för att förbättra kundservice, identifiera processflaskhalsar, öka first call resolution och driva datadriven försäljning. Voxo rapporterade 84% intäktsökning 2023 och fick 2025 Dahlgren Capital som ny huvudägare.;https://www.voxo.ai/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471701/recWY8CX9PdIPfQ2H.webp;https://www.ai-startups-europe.eu/p21?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, saas;Stockholm, Sweden;Yes
DeepMed AB;DeepMed omdefiniera radiologi och ortopedi genom artificiell intelligens. Företaget utvecklar mjukvara som stödjer vårdpersonal med förstklassiga AI-lösningar inom traumatologi, onkologi och degenerativ medicin. DeepMeds vision är att använda AI för att assistera vårdarbetare i beslutsfattande, alltid med patienten i fokus. Företaget designar sin AI för att optimera patientnytta och tror starkt på att AI kommer leda till nästa genombrott inom medicin - ett genombrott som handlar om patienten och inte systemet. DeepMed fokuserar på att leverera lösningar som förbättrar diagnostisk träffsäkerhet och behandlingsresultat.;https://deep-med.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4470929/rec1VUwKmGvayjSIE.webp;https://www.ai-startups-europe.eu/p5?country%5B%5D=4000642;B2B, health;artificial intelligence;Stockholm, Sweden;Yes
EdAider;EdAider är en AI-driven utbildningsplattform som hjälper lärare och elever med personaliserat lärande genom intelligent tutorhjälp. Företagets lösning använder artificiell intelligens för att anpassa innehåll, ge omedelbar feedback och identifiera kunskapsluckor hos enskilda elever. Plattformen stödjer lärare med automatiserad rättning, progressspårning och insikter om elevers utveckling. EdAider riktar sig till grundskolor och gymnasier som vill öka läranderesultat genom individualiserad undervisning. Genom att kombinera pedagogisk expertis med AI-teknologi demokratiserar EdAider tillgången till personlig lärarsupport.;https://www.edaider.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471266/recFhsYEBJWwcopQf.webp;https://www.ai-startups-europe.eu/p5?country%5B%5D=4000642;B2B;artificial intelligence;Stockholm, Sweden;Yes
